,X,name,genus,vore,order,conservation,Total.Sleep.Time,sleep_rem,awake,brainwt,bodywt
37,37,Thick-tailed opposum,Lutreolina,1,Didelphimorphia,4,19.4,6.6,4.6,0.281581429,0.37
38,38,Macaque,Macaca,4,Primates,4,10.1,1.2,13.9,0.179,6.8
39,39,Mongolian gerbil,Meriones,2,Rodentia,4,14.2,1.9,9.8,0.281581429,0.053
40,40,Golden hamster,Mesocricetus,2,Rodentia,3,14.3,3.1,9.7,0.001,0.12
41,41,Vole ,Microtus,2,Rodentia,4,12.8,1.875409836,11.2,0.281581429,0.035
42,42,House mouse,Mus,2,Rodentia,5,12.5,1.4,11.5,4.00E-04,0.022
43,43,Little brown bat,Myotis,3,Chiroptera,4,19.9,2,4.1,0.00025,0.01
44,44,Round-tailed muskrat,Neofiber,2,Rodentia,5,14.6,1.875409836,9.4,0.281581429,0.266
45,45,Slow loris,Nyctibeus,1,Primates,4,11,1.875409836,13,0.0125,1.4
46,46,Degu,Octodon,2,Rodentia,4,7.7,0.9,16.3,0.281581429,0.21
47,47,Northern grasshopper mouse,Onychomys,1,Rodentia,4,14.5,1.875409836,9.5,0.281581429,0.028
48,48,Rabbit,Oryctolagus,2,Lagomorpha,2,8.4,0.9,15.6,0.0121,2.5
49,49,Sheep,Ovis,2,Artiodactyla,2,3.8,0.6,20.2,0.175,55.5
50,50,Chimpanzee,Pan,4,Primates,4,9.7,1.4,14.3,0.44,52.2
51,51,Tiger,Panthera,1,Carnivora,3,15.8,1.875409836,8.2,0.281581429,162.564
52,52,Jaguar,Panthera,1,Carnivora,5,10.4,1.875409836,13.6,0.157,100
53,53,Lion,Panthera,1,Carnivora,6,13.5,1.875409836,10.5,0.281581429,161.499
54,54,Baboon,Papio,4,Primates,4,9.4,1,14.6,0.18,25.235
55,55,Desert hedgehog,Paraechinus,2,Erinaceomorpha,4,10.3,2.7,13.7,0.0024,0.55
56,56,Potto,Perodicticus,4,Primates,4,11,1.875409836,13,0.281581429,1.1
57,57,Deer mouse,Peromyscus,2,Rodentia,4,11.5,1.875409836,12.5,0.281581429,0.021
58,58,Phalanger,Phalanger,2,Diprotodontia,4,13.7,1.8,10.3,0.0114,1.62
59,59,Caspian seal,Phoca,1,Carnivora,6,3.5,0.4,20.5,0.281581429,86
60,60,Common porpoise,Phocoena,1,Cetacea,6,5.6,1.875409836,18.45,0.281581429,53.18
61,61,Potoroo,Potorous,2,Diprotodontia,4,11.1,1.5,12.9,0.281581429,1.1
62,62,Giant armadillo,Priodontes,3,Cingulata,3,18.1,6.1,5.9,0.081,60
63,63,Rock hyrax,Procavia,2,Hyracoidea,4,5.4,0.5,18.6,0.021,3.6
64,64,Laboratory rat,Rattus,2,Rodentia,4,13,2.4,11,0.0019,0.32
65,65,African striped mouse,Rhabdomys,4,Rodentia,4,8.7,1.875409836,15.3,0.281581429,0.044
66,66,Squirrel monkey,Saimiri,4,Primates,4,9.6,1.4,14.4,0.02,0.743
67,67,Eastern american mole,Scalopus,3,Soricomorpha,4,8.4,2.1,15.6,0.0012,0.075
68,68,Cotton rat,Sigmodon,2,Rodentia,4,11.3,1.1,12.7,0.00118,0.148
69,69,Mole rat,Spalax,2,Rodentia,4,10.6,2.4,13.4,0.003,0.122
70,70,Arctic ground squirrel,Spermophilus,2,Rodentia,4,16.6,1.875409836,7.4,0.0057,0.92
71,71,Thirteen-lined ground squirrel,Spermophilus,2,Rodentia,4,13.8,3.4,10.2,0.004,0.101
72,72,Golden-mantled ground squirrel,Spermophilus,2,Rodentia,4,15.9,3,8.1,0.281581429,0.205
73,73,Musk shrew,Suncus,2,Soricomorpha,4,12.8,2,11.2,0.00033,0.048
74,74,Pig,Sus,4,Artiodactyla,2,9.1,2.4,14.9,0.18,86.25
75,75,Short-nosed echidna,Tachyglossus,3,Monotremata,4,8.6,1.875409836,15.4,0.025,4.5
76,76,Eastern american chipmunk,Tamias,2,Rodentia,4,15.8,1.875409836,8.2,0.281581429,0.112
77,77,Brazilian tapir,Tapirus,2,Perissodactyla,6,4.4,1,19.6,0.169,207.501
78,78,Tenrec,Tenrec,4,Afrosoricida,4,15.6,2.3,8.4,0.0026,0.9
79,79,Tree shrew,Tupaia,4,Scandentia,4,8.9,2.6,15.1,0.0025,0.104
80,80,Bottle-nosed dolphin,Tursiops,1,Cetacea,4,5.2,1.875409836,18.8,0.281581429,173.33
81,81,Genet,Genetta,1,Carnivora,4,6.3,1.3,17.7,0.0175,2
82,82,Arctic fox,Vulpes,1,Carnivora,4,12.5,1.875409836,11.5,0.0445,3.38
83,83,Red fox,Vulpes,1,Carnivora,4,9.8,2.4,14.2,0.0504,4.23
